,action 0 episode sum,action 1 episode sum,action 2 episode sum
1,0,61,53
2,0,40,38
3,0,33,28
4,0,1,0
5,0,41,48
6,0,44,36
7,0,22,30
8,0,1,0
9,0,53,53
10,0,34,35
11,0,36,35
12,0,0,1
13,0,54,74
14,0,55,36
15,0,46,42
16,0,0,0
17,0,48,53
18,0,53,46
19,0,46,33
20,0,0,1
21,0,58,52
22,0,30,39
23,0,44,39
24,0,1,0
25,0,48,30
26,0,38,39
27,0,53,31
28,0,0,1
29,0,39,57
30,0,47,51
31,0,43,48
32,0,0,0
33,0,53,47
34,0,43,42
35,0,54,48
36,0,0,0
37,0,35,45
38,0,22,15
39,0,15,28
40,0,1,0
41,0,46,51
42,0,38,40
43,0,41,52
44,0,0,1
45,0,59,58
46,0,38,30
47,0,37,25
48,0,1,0
49,0,38,40
50,0,32,35
51,0,44,36
52,0,1,0
53,0,26,45
54,0,29,25
55,0,43,33
56,0,0,0
57,0,47,37
58,0,59,42
59,0,36,35
60,0,0,1
61,0,44,55
62,0,33,33
63,0,53,47
64,0,0,0
65,0,38,28
66,0,40,29
67,0,22,20
68,0,0,0
69,0,47,50
70,0,31,37
71,0,25,25
72,0,0,0
73,0,36,54
74,0,31,54
75,0,34,45
76,0,0,0
77,0,50,41
78,0,34,41
79,0,95,75
80,0,0,0
81,0,46,42
82,0,43,39
83,0,48,42
84,0,1,0
85,0,45,40
86,0,37,36
87,0,31,38
88,0,1,0
89,0,53,62
90,0,41,45
91,0,37,36
92,0,1,0
93,0,37,36
94,0,35,32
95,0,38,46
96,0,0,1
97,0,45,45
98,0,34,37
99,0,34,54
100,0,1,0
101,0,49,33
102,0,36,28
103,0,84,92
104,0,0,0
105,0,36,50
106,0,40,52
107,0,36,38
108,0,0,0
109,0,48,41
110,0,42,45
111,0,38,55
112,0,0,0
113,0,50,44
114,0,32,34
115,0,43,57
116,0,1,0
117,0,47,35
118,0,39,50
119,0,42,25
120,0,0,0
121,0,49,66
122,0,58,66
123,0,53,40
124,0,1,0
125,0,42,49
126,0,38,37
127,0,69,74
128,0,0,1
129,0,42,50
130,0,21,35
131,0,40,25
132,0,0,0
133,0,37,50
134,0,48,36
135,0,41,39
136,0,1,0
137,0,52,42
138,0,49,55
139,0,34,51
140,0,0,0
141,0,61,62
142,0,50,53
143,0,38,40
144,0,0,0
145,0,43,40
146,0,14,20
147,0,49,46
148,0,0,1
149,0,40,40
150,0,37,34
151,0,40,39
152,0,1,0
153,0,52,37
154,0,39,31
155,0,41,56
156,0,0,0
157,0,40,60
158,0,32,34
159,0,32,45
160,0,0,0
161,0,55,42
162,0,41,28
163,0,28,38
164,0,1,0
165,0,43,55
166,0,47,23
167,0,40,50
168,0,0,0
169,0,40,42
170,0,33,35
171,0,47,48
172,0,0,0
173,0,48,50
174,0,35,41
175,0,27,12
176,0,1,0
177,0,54,37
178,0,17,23
179,0,46,40
180,0,0,1
181,0,42,42
182,0,52,53
183,0,18,17
184,0,0,0
185,0,51,54
186,0,41,46
187,0,28,27
188,0,0,1
189,0,35,31
