,action_name,action,reward,episode reward,epoch reward,total reward,lives,end of episode,end of epoch,info,episode,episode step,epoch,epoch step,step,action 0 episode sum,action 0 total sum,action 1 episode sum,action 1 total sum,action 2 episode sum,action 2 total sum,action 3 episode sum,action 3 total sum,action 4 episode sum,action 4 total sum,action 5 episode sum,action 5 total sum,action 6 episode sum,action 6 total sum,action 7 episode sum,action 7 total sum,action 8 episode sum,action 8 total sum
1,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,2,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,3,1,3,3,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
4,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,4,1,4,4,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,5,1,5,5,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1
6,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,6,1,6,6,1,1,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,1
7,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,7,1,7,7,1,1,1,1,0,0,2,2,0,0,1,1,1,1,0,0,1,1
8,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,8,1,8,8,1,1,1,1,0,0,2,2,0,0,1,1,2,2,0,0,1,1
9,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,9,1,9,9,1,1,1,1,0,0,2,2,0,0,1,1,3,3,0,0,1,1
10,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,10,1,10,10,2,2,1,1,0,0,2,2,0,0,1,1,3,3,0,0,1,1
11,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,11,1,11,11,2,2,1,1,0,0,2,2,0,0,1,1,3,3,0,0,2,2
12,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,12,1,12,12,2,2,1,1,0,0,2,2,0,0,1,1,3,3,0,0,3,3
13,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,13,1,13,13,2,2,1,1,1,1,2,2,0,0,1,1,3,3,0,0,3,3
14,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,14,1,14,14,2,2,1,1,1,1,2,2,1,1,1,1,3,3,0,0,3,3
15,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,15,1,15,15,2,2,1,1,1,1,2,2,1,1,1,1,4,4,0,0,3,3
16,NOOP,0,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,16,1,16,16,3,3,1,1,1,1,2,2,1,1,1,1,4,4,0,0,3,3
17,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,17,1,17,17,3,3,1,1,1,1,2,2,2,2,1,1,4,4,0,0,3,3
18,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,18,1,18,18,3,3,1,1,1,1,2,2,3,3,1,1,4,4,0,0,3,3
19,UPRIGHT,5,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,19,1,19,19,3,3,1,1,1,1,2,2,3,3,2,2,4,4,0,0,3,3
20,DOWN,4,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,20,1,20,20,3,3,1,1,1,1,2,2,4,4,2,2,4,4,0,0,3,3
21,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,21,1,21,21,3,3,1,1,1,1,3,3,4,4,2,2,4,4,0,0,3,3
22,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,22,1,22,22,3,3,2,2,1,1,3,3,4,4,2,2,4,4,0,0,3,3
23,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,23,1,23,23,3,3,2,2,2,2,3,3,4,4,2,2,4,4,0,0,3,3
24,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,24,1,24,24,3,3,3,3,2,2,3,3,4,4,2,2,4,4,0,0,3,3
25,UP,1,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,25,1,25,25,3,3,4,4,2,2,3,3,4,4,2,2,4,4,0,0,3,3
26,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,26,1,26,26,3,3,4,4,2,2,3,3,4,4,2,2,4,4,0,0,4,4
27,DOWNRIGHT,7,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,27,1,27,27,3,3,4,4,2,2,3,3,4,4,2,2,4,4,1,1,4,4
28,DOWNLEFT,8,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,28,1,28,28,3,3,4,4,2,2,3,3,4,4,2,2,4,4,1,1,5,5
29,RIGHT,2,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,29,1,29,29,3,3,4,4,3,3,3,3,4,4,2,2,4,4,1,1,5,5
30,UPLEFT,6,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,30,1,30,30,3,3,4,4,3,3,3,3,4,4,2,2,5,5,1,1,5,5
31,LEFT,3,0.0,0.0,0.0,0.0,5,False,False,{'ale.lives': 5},1,31,1,31,31,3,3,4,4,3,3,4,4,4,4,2,2,5,5,1,1,5,5
